model,rank,feature,feature_label,importance_mean,importance_std
Histogram Gradient Boosting,28,tag__junior,Tag: junior,0.001496393826515378,0.0005462727961711183
Histogram Gradient Boosting,29,tag__legal,Tag: legal,0.0014817815470790086,0.0008790125392034171
Histogram Gradient Boosting,30,title__engineer,Title term: engineer,0.0014370308965180323,0.000536758153695925
Histogram Gradient Boosting,31,title__software,Title term: software,0.0013516114738152767,0.00038763252979610857
Histogram Gradient Boosting,32,tag__medical,Tag: medical,0.0013374159807690484,0.000812259606004746
Histogram Gradient Boosting,33,tag__recruiter,Tag: recruiter,0.0011662473232357435,0.0004163257129469419
Histogram Gradient Boosting,34,title__manager,Title term: manager,0.0011652181597888722,0.0002467638457631462
Histogram Gradient Boosting,35,title__web,Title term: web,0.0011512912224778127,0.0006848694800074048
Histogram Gradient Boosting,36,location_count,Number of location labels,0.0011074395115060105,0.00023461254175878587
Histogram Gradient Boosting,37,title__analyst,Title term: analyst,0.0010944148505435125,0.00047393761397480146
Histogram Gradient Boosting,38,tag__devops,Tag: devops,0.0010500921404278756,0.0006061515379842844
Histogram Gradient Boosting,39,tag__lead,Tag: lead,0.0010221566313375712,8.868599037386118e-05
Histogram Gradient Boosting,40,tag__full_time,Tag: full-time,0.0009791242692997286,0.00010175538868494097
Histogram Gradient Boosting,41,tag__node,Tag: node,0.0009055491976047714,0.00014116327471451766
Histogram Gradient Boosting,42,tag__quality_assurance,Tag: quality assurance,0.0008770906469085515,0.00016239200531243842
Histogram Gradient Boosting,43,tag__software,Tag: software,0.0008488932484389163,0.00033499009869693454
Histogram Gradient Boosting,44,title__senior,Title term: senior,0.0008207944885746018,0.0006886427115619396
Histogram Gradient Boosting,45,tag__health,Tag: health,0.0008200783519471214,0.00016170039881071576
Histogram Gradient Boosting,46,location__united_states,Location: united states,0.0008050100187163567,0.0007801866193797838
Histogram Gradient Boosting,47,title_chars_log,"Title length, log",0.0007925237359543239,0.0008936126153985639
Histogram Gradient Boosting,48,tag__engineering,Tag: engineering,0.0007908912622773082,0.0005127327602026771
Histogram Gradient Boosting,49,title__customer,Title term: customer,0.0005897515934804402,0.0003272153091598562
Histogram Gradient Boosting,50,tag__manager,Tag: manager,0.0005327320877074696,0.0007941865978230017
Histogram Gradient Boosting,51,tag__edu,Tag: edu,0.0005187908982220435,0.0008575180809612587
Histogram Gradient Boosting,52,title__data,Title term: data,0.0005163764373946241,0.0016655707162213538
Histogram Gradient Boosting,53,tag__executive,Tag: executive,0.0005038278886777178,0.00014254836220700475
Histogram Gradient Boosting,54,tag__fintech,Tag: fintech,0.00043173420842923527,0.0
Histogram Gradient Boosting,55,tag__react,Tag: react,0.00041659840932491604,0.0004913541614574685
Histogram Gradient Boosting,56,tag__operations,Tag: operations,0.0003885973066423502,9.32783623524602e-05
Histogram Gradient Boosting,57,tag__accounting,Tag: accounting,0.0003885526437008939,9.313362005376517e-05
Histogram Gradient Boosting,58,tag__ruby,Tag: ruby,0.0003742831722106654,0.00021618527874935143
Histogram Gradient Boosting,59,title__designer,Title term: designer,0.00035983443406277055,4.0729614002298226e-05
Histogram Gradient Boosting,60,tag__leader,Tag: leader,0.00035982695740903,0.00012379709333260633
Histogram Gradient Boosting,61,title__principal,Title term: principal,0.0003454305968089895,0.00012710214678382276
Histogram Gradient Boosting,62,tag__strategy,Tag: strategy,0.0003454305968089895,0.00012710214678382276
Histogram Gradient Boosting,63,title__content,Title term: content,0.0003310640848294503,8.141703208227006e-05
Histogram Gradient Boosting,64,title__director,Title term: director,0.0003307433019646607,0.00045468309509576514
Histogram Gradient Boosting,65,title__lead,Title term: lead,0.00031647390509596346,0.00040063494382911884
Histogram Gradient Boosting,66,tag__linux,Tag: linux,0.000287785561475092,0.00026915393211789643
Histogram Gradient Boosting,67,title__development,Title term: development,0.00027345625885881003,0.00021250414454714676
Histogram Gradient Boosting,68,tag__go,Tag: go,0.00027342640444549815,0.0001809553160901086
Histogram Gradient Boosting,69,tag__technical,Tag: technical,0.0002733816721037045,0.0003275491205201716
Histogram Gradient Boosting,70,title__architect,Title term: architect,0.00025917913046902274,0.0004606808469181665
Histogram Gradient Boosting,71,title__developer,Title term: developer,0.0002451174990623084,0.0006202264594233235
Histogram Gradient Boosting,72,tag__git,Tag: git,0.0002446859096254898,0.00021250313544160732
Histogram Gradient Boosting,73,title__product,Title term: product,0.0002446859096254898,0.00021250313544160732
Histogram Gradient Boosting,74,tag__support,Tag: support,0.0002446785487028036,0.000615364636992773
Histogram Gradient Boosting,75,location__united_kingdom,Location: united kingdom,0.00021592301385053858,0.0
Histogram Gradient Boosting,76,tag__excel,Tag: excel,0.00021592301385053858,0.0
Histogram Gradient Boosting,77,title__operations,Title term: operations,0.00021592301385053858,0.0
Histogram Gradient Boosting,78,title__front,Title term: front,0.00021592301385053858,0.0
Histogram Gradient Boosting,79,tag__ui,Tag: ui,0.00021592301385053858,0.0
Histogram Gradient Boosting,80,tag__reliability,Tag: reliability,0.0002014893743669995,0.0001424745029519403
Histogram Gradient Boosting,81,tag__consulting,Tag: consulting,0.0002014893743669995,0.0001424745029519403
Histogram Gradient Boosting,82,tag__financial,Tag: financial,0.0001871303042361531,0.0005463080987984777
Histogram Gradient Boosting,83,tag__android,Tag: android,0.00017271896140036436,9.328538754911179e-05
Histogram Gradient Boosting,84,title__frontend,Title term: frontend,0.00014418689748866656,7.326712756921756e-05
Histogram Gradient Boosting,85,tag__web,Tag: web,0.00014394867590035906,0.00010178708487196843
Histogram Gradient Boosting,86,title__stack,Title term: stack,0.00014394867590035906,0.00010178708487196843
Histogram Gradient Boosting,87,tag__salesforce,Tag: salesforce,0.00012988744329530308,0.0004327221814757051
Histogram Gradient Boosting,88,title__associate,Title term: associate,0.00011519323937658754,0.00030792831739308145
Histogram Gradient Boosting,89,tag__front_end,Tag: front end,0.00010128044041439004,0.00016619160050476784
Histogram Gradient Boosting,90,tag__test,Tag: test,0.00010074468718349976,0.00014247450295194026
Histogram Gradient Boosting,91,title__react,Title term: react,0.00010074468718349976,0.00014247450295194026
Histogram Gradient Boosting,92,title__executive,Title term: executive,0.00010074468718349976,0.00014247450295194026
Histogram Gradient Boosting,93,tag__full_stack,Tag: full-stack,0.00010074468718349976,0.00014247450295194026
Histogram Gradient Boosting,94,tag__api,Tag: api,7.197433795017953e-05,0.00010178708487196843
Histogram Gradient Boosting,95,title__sales,Title term: sales,5.7480989640016723e-05,4.064519756376951e-05
Histogram Gradient Boosting,96,tag__content,Tag: content,4.330831977924129e-05,0.0005470622129510361
Histogram Gradient Boosting,97,tag__analytics,Tag: analytics,4.321890142640802e-05,0.00030113209998271613
Histogram Gradient Boosting,98,title__engineering,Title term: engineering,3.2034832904888805e-07,0.00030098900380345987
Histogram Gradient Boosting,99,location__netherlands,Location: netherlands,0.0,0.0
Histogram Gradient Boosting,100,title__technical,Title term: technical,0.0,0.0
Histogram Gradient Boosting,101,title__intern,Title term: intern,0.0,0.0
Histogram Gradient Boosting,102,title__rails,Title term: rails,0.0,0.0
Histogram Gradient Boosting,103,title__enterprise,Title term: enterprise,0.0,0.0
Histogram Gradient Boosting,104,title__fullstack,Title term: fullstack,0.0,0.0
Histogram Gradient Boosting,105,title__cloud,Title term: cloud,0.0,0.0
Histogram Gradient Boosting,106,title__ruby,Title term: ruby,0.0,0.0
Histogram Gradient Boosting,107,title__staff,Title term: staff,0.0,0.0
Histogram Gradient Boosting,108,title__platform,Title term: platform,0.0,0.0
Histogram Gradient Boosting,109,title__scientist,Title term: scientist,0.0,0.0
Histogram Gradient Boosting,110,location__ireland,Location: ireland,0.0,0.0
Histogram Gradient Boosting,111,location__singapore,Location: singapore,0.0,0.0
Histogram Gradient Boosting,112,title__full,Title term: full,0.0,0.0
Histogram Gradient Boosting,113,title__end,Title term: end,0.0,0.0
Histogram Gradient Boosting,114,tag__recruitment,Tag: recruitment,0.0,0.0
Histogram Gradient Boosting,115,title__representative,Title term: representative,0.0,0.0
Histogram Gradient Boosting,116,title__marketing,Title term: marketing,0.0,0.0
Histogram Gradient Boosting,117,location__portugal,Location: portugal,0.0,0.0
Histogram Gradient Boosting,118,location__argentina,Location: argentina,0.0,0.0
Histogram Gradient Boosting,119,location__philippines,Location: philippines,0.0,0.0
Histogram Gradient Boosting,120,location__colombia,Location: colombia,0.0,0.0
Histogram Gradient Boosting,121,location__spain,Location: spain,0.0,0.0
Histogram Gradient Boosting,122,location__australia,Location: australia,0.0,0.0
Histogram Gradient Boosting,123,location__gibraltar,Location: gibraltar,0.0,0.0
Histogram Gradient Boosting,124,location__nigeria,Location: nigeria,0.0,0.0
Histogram Gradient Boosting,125,tag__healthcare,Tag: healthcare,0.0,0.0
Histogram Gradient Boosting,126,location__brazil,Location: brazil,0.0,0.0
Histogram Gradient Boosting,127,location__germany,Location: germany,0.0,0.0
Histogram Gradient Boosting,128,location__mexico,Location: mexico,0.0,0.0
Histogram Gradient Boosting,129,location__india,Location: india,0.0,0.0
Histogram Gradient Boosting,130,tag__investment,Tag: investment,0.0,0.0
Histogram Gradient Boosting,131,tag__analyst,Tag: analyst,0.0,0.0
Histogram Gradient Boosting,132,tag__director,Tag: director,0.0,0.0
Histogram Gradient Boosting,133,tag__educational,Tag: educational,0.0,0.0
Histogram Gradient Boosting,134,location__poland,Location: poland,0.0,0.0
Histogram Gradient Boosting,135,title__security,Title term: security,-3.7302066805781443e-08,0.00017634609004019174
Histogram Gradient Boosting,136,location__france,Location: france,-2.8718163433157546e-05,0.0002124455755331855
Histogram Gradient Boosting,137,title__golang,Title term: golang,-0.00010069250138333707,0.00014240070108558693
Histogram Gradient Boosting,138,tag__growth,Tag: growth,-0.00010069250138333707,0.00014240070108558693
Histogram Gradient Boosting,139,tag__voice,Tag: voice,-0.0001440232800339706,0.00010183983796074971
Histogram Gradient Boosting,140,tag__security,Tag: security,-0.0001580692469016117,0.0003385745195392351
Histogram Gradient Boosting,141,tag__code,Tag: code,-0.00015811395607800982,0.00010179760108538771
Histogram Gradient Boosting,142,title__devops,Title term: devops,-0.00015811395607804682,0.00043491740653437056
Histogram Gradient Boosting,143,tag__java,Tag: java,-0.00015863613887530845,0.0003534339471275655
Histogram Gradient Boosting,144,tag__management,Tag: management,-0.00018722692732053847,0.0006925392060760314
Histogram Gradient Boosting,145,title__support,Title term: support,-0.00021547596827309334,0.0004270307677423256
Histogram Gradient Boosting,146,title__account,Title term: account,-0.00021603492005095593,0.0
Histogram Gradient Boosting,147,title__business,Title term: business,-0.00021609475650645008,0.0003928447195871624
Histogram Gradient Boosting,148,title__success,Title term: success,-0.0002880391124144473,0.0003388253533431637
Histogram Gradient Boosting,149,tag__ux,Tag: ux,-0.0002880838911410259,0.00010189263207060397
Histogram Gradient Boosting,150,tag__training,Tag: training,-0.0003019806497113568,0.0005864090735662487
Histogram Gradient Boosting,151,location__canada,Location: canada,-0.0004026286560736188,0.0002060581982108743
Histogram Gradient Boosting,152,title__systems,Title term: systems,-0.0004173826207508243,0.0002847486490823925
Histogram Gradient Boosting,153,title__specialist,Title term: specialist,-0.0004321595368598589,0.0006376549258469658
Histogram Gradient Boosting,154,tag__finance,Tag: finance,-0.0005753179832848065,0.0001070990336216802
Histogram Gradient Boosting,155,tag__recruiting,Tag: recruiting,-0.0008921418247842908,0.0001019136070407987
Histogram Gradient Boosting,156,post_year,Posting year,-0.001132197876474191,0.0006642713931213278
